Country,Value,Quantity,Population,Reigon
Angola,23.77,543.32,31825295,Africa
Argentina,3290.32,241003,44938712,South America
Armenia,58.98,4711.37,2957731,Asia
Aruba,0.1,1,106314,South America
Australia,22928.2,1877190,25766605,Oceania
Austria,110598.45,21223300,8877067,Europe
Bahrain,2220.6,110084,1501635,Asia
Barbados,0.01,1,287025,South America
Belarus,17537.2,3324490,9466856,Europe
Belgium,127206.14,9052860,11484055,Europe
Bolivia,1.01,113,11513100,South America
Bosnia and Herzegovina,767.86,76402.1,3301000,Europe
Botswana,48.51,10099,2346179,Africa
Brazil,92356.24,9595470,212559417,South America
Brunei,0.08,71.79,433285,Asia
Bulgaria,5633.13,354037,6975761,Europe
Canada,520035.75,42567100,36991981,North America
Chile,598.61,42257.4,18952038,South America
China,755193.07,141019000,1397715000,Asia
Colombia,3091.5,176418,50339443,South America
Costa Rica,2.45,363,5047561,North America
Ivory Coast,13.07,535,25716544,Africa
Croatia,4615.01,458169,4067500,Europe
Cyprus,0.14,6,1198575,Europe
Czech Republic,142508.58,20410600,10669709,Europe
Denmark,3702.11,229263,5818553,Europe
Dominican Republic,45.91,555.88,10738958,North America
Ecuador,50.19,921.25,17373662,North America
El Salvador,517.79,38708.9,6453553,North America
Estonia,1059.84,57401,1331824,Europe
Eswatini,10.52,939.33,1093238,Africa
Ethiopia,0.01,5.69,112078730,Africa
Fiji,4.95,160,889953,Oceania
Finland,3500.86,17262.1,5520314,Europe
France,454206.94,39298900,67059887,Europe
Georgia,138.72,17671,3720382,Asia
Germany,2522581.59,293032000,83132799,Europe
Ghana,33.42,864.82,30792608,Africa
Greece,3132.71,230775,10716322,Europe
Grenada,0.64,12,112003,South America
Guatemala,81.51,9136,16604026,North America
Honduras,3.98,248.22,9746117,North America
Hong Kong,5225.72,533355,7507400,Asia
Hungary,799214.89,110677000,9769949,Europe
Iceland,1.24,10,361313,Europe
India,74496.06,11125800,1366417754,Asia
Indonesia,85526.42,11762400,270203917,Asia
Ireland,903.89,62102,5007069,Europe
Italy,376856.25,37174500,60297396,Europe
Jamaica,3.36,103.79,2948279,North America
Japan,834614.76,80662700,126226568,Asia
Kazakhstan,252.34,45516.5,18513930,Asia
Kenya,103.04,4020.08,52573973,Africa
South Korea,445935.48,57749900,51709098,Asia
Kuwait,74.42,906,4207083,Asia
Kyrgyzstan,33.98,236,6456900,Asia
Laos,0.5,44,7169455,Asia
Latvia,3813.4,193573,1912789,Europe
Lebanon,3.03,45,6855713,Asia
Lithuania,11708.28,803751,2786844,Europe
Luxembourg,413.68,13293.6,645397,Europe
Madagascar,3.07,82.35,26969307,Africa
Malawi,0.13,11.5,18628747,Africa
Malaysia,11901.84,919561,32447385,Asia
Mali,21.67,371,19658031,Africa
Mauritius,0.28,4,1265711,Africa
Mexico,275956.13,22588200,126014024,North America
Moldova,28.19,7162,2657637,Europe
Mongolia,0.79,6.41,3225167,Asia
Montenegro,12.31,826.19,622137,Europe
Morocco,509.13,40993.9,36910560,Africa
Mozambique,14.77,1209.07,30366036,Africa
Netherlands,57735.89,3967480,17332850,Europe
Nicaragua,29.51,1617.84,6545502,North America
Republic of North Macedonia,4014.86,879216,1836713,Europe
Norway,18734.14,551847,5347896,Europe
Oman,3047.18,204389,5266535,Asia
Pakistan,39.28,12247,216565318,Asia
Panama,15070.93,1233620,4246439,South America
Paraguay,11.7,82,7044636,South America
Peru,128.08,5614.34,32510453,South America
Philippines,3324,272145,108116615,Asia
Poland,159378.23,14820100,37970874,Europe
Portugal,3127.14,192756,10269417,Europe
Romania,17015.11,1594540,19356544,Europe
Russia,35886.76,5775010,144373535,Asia
Rwanda,1.88,3445,12626950,Africa
Samoa,0.12,10,202506,Oceania
Senegal,0.92,131,16296364,Africa
Serbia,2066.65,373017,6944975,Europe
Seychelles,0.29,41,97625,Africa
Singapore,19878.6,1627510,5703569,Asia
Slovakia,347998.91,48845100,5454073,Europe
Slovenia,5431.52,788444,2087946,Europe
South Africa,43288.15,5794680,58558270,Africa
Spain,200876.83,25411000,47076781,Europe
Sri Lanka,109.08,4174.06,21803000,Asia
Saint Lucia,4.19,87.44,182790,South America
Saint Vincent and the Grenadines,0.05,2.5,100455,South America
Sweden,173485.25,10754200,10285453,Europe
Switzerland,6560.82,,8574832,Europe
Tanzania,87.94,17704.1,58005463,Africa
Thailand,133190.65,10323400,69625582,Asia
Togo,14.3,,8082366,Africa
Trinidad and Tobago,18.5,2749.7,1394973,South America
Tunisia,4.3,216,11694719,Africa
Turkey,205304.41,28902700,83429615,Europe
Uganda,24.73,14245,44269594,Africa
Ukraine,4472.74,952813,44385155,Europe
United Arab Emirates,95435.6,10924000,9770529,Asia
United Kingdom,300887.23,30417300,66834405,Europe
United States,1037613.39,110206000,328239523,North America
Uruguay,22.74,465.34,3461734,South America
Uzbekistan,9.6,3024.72,33580650,Asia
Vietnam,78096.56,6393980,96462106,Asia
Zambia,103.81,7192.56,17861030,Africa
Zimbabwe,3.31,369.49,14645468,Africa
